state,date,price,rent,interest_rate,cp_index,inflation,total_pops,unemployed_pct
AK,2016-05-01,258524.6705217391,1430.0084891476192,0.37,240.229,0.4045790998115084,546309.0,6.6
AK,2016-06-01,258965.1170021739,1565.3466695,0.38,241.018,0.32843661672818936,546635.0,6.6
AK,2016-07-01,259629.1636369565,1550.6679025,0.39,240.628,-0.1618136404749948,547000.0,6.6
AK,2016-08-01,260084.15261086955,1363.0359513333335,0.4,240.849,0.09184301078843937,547166.0,6.7
AK,2016-09-01,260256.62840652175,1347.6421473333332,0.4,241.428,0.2403995864628916,547374.0,6.7
AK,2016-10-01,260340.25248043478,1357.1530109999999,0.4,241.729,0.12467485130143174,547373.0,6.7
AK,2016-11-01,260511.8572847826,1499.3428245,0.41,241.353,-0.15554608673349346,547491.0,6.7
AK,2016-12-01,260992.83274347827,1326.8709178666666,0.54,241.432,0.03273213923173923,547590.0,6.7
AK,2017-01-01,261655.7024304348,1316.8746160333333,0.65,242.839,0.5827727890254764,546640.0,6.6
AK,2017-02-01,261930.2161304348,1227.929021875,0.66,243.603,0.3146117386416458,546528.0,6.6
AK,2017-03-01,261638.17028478262,1243.841245925,0.79,243.801,0.08127978719472129,546410.0,6.5
AK,2017-04-01,261001.71585652174,1261.9454979250002,0.9,244.524,0.2965533365326678,546526.0,6.5
AK,2017-05-01,260834.58743913044,1264.253736575,0.91,244.733,0.08547218268963874,546537.0,6.5
AK,2017-06-01,260818.56306739128,1274.26823635,1.04,244.955,0.09071110148610728,546455.0,6.5
AK,2017-07-01,261089.4841521739,1275.0398219249998,1.15,244.786,-0.06899226388520363,546404.0,6.5
AK,2017-08-01,261374.13370434783,1275.126142025,1.16,245.519,0.29944522971085963,546477.0,6.5
AK,2017-09-01,261880.20685,1267.1398588999998,1.15,246.819,0.5294905893230117,546423.0,6.5
AK,2017-10-01,262516.7531195652,1257.96552255,1.15,246.663,-0.06320421037276924,546483.0,6.5
AK,2017-11-01,263361.7155782609,1250.792673325,1.16,246.669,0.0024324685907517463,546391.0,6.5
AK,2017-12-01,264273.5447304348,1246.725036375,1.3,246.524,-0.058783227726233456,546318.0,6.4
AK,2018-01-01,264873.9593304348,1244.248129675,1.41,247.867,0.5447745452775266,546187.0,6.4
AK,2018-02-01,265328.24359130434,1241.7553918750002,1.42,248.991,0.45346899748657243,546024.0,6.3
AK,2018-03-01,265754.26699130435,1246.84002995,1.51,249.554,0.2261125904149175,545863.0,6.2
AK,2018-04-01,266634.2791521739,1256.9964232,1.69,250.546,0.3975091563348965,545791.0,6.1
AK,2018-05-01,267538.4880173913,1264.6598374999999,1.7,251.588,0.4158916925434797,545675.0,6.0
AK,2018-06-01,268190.55827826087,1278.918311825,1.82,251.989,0.1593875701543901,545656.0,5.9
AK,2018-07-01,268371.0304695652,1285.5232303750001,1.91,252.006,0.006746326228523891,545602.0,5.9
AK,2018-08-01,268699.8585782609,1292.61946595,1.91,252.146,0.055554232835719475,545571.0,5.9
AK,2018-09-01,269367.0848434783,1281.258936875,1.95,252.439,0.11620251758901468,545588.0,5.9
AK,2018-10-01,270406.1244673913,1276.54976405,2.19,252.885,0.1766763455725906,545554.0,5.9
AK,2018-11-01,271023.71323913045,1266.630373475,2.2,252.038,-0.3349348518100981,545487.0,6.0
AK,2018-12-01,271366.4089869565,1263.8893225,2.27,251.233,-0.31939628151310684,545405.0,6.0
AK,2019-01-01,271398.1377652174,1138.7794935666666,2.4,251.712,0.19065966652469513,545309.0,6.0
AK,2019-02-01,272834.97450888884,1266.47697775,2.4,252.776,0.4227053140096748,545122.0,5.9
AK,2019-03-01,275458.4325431818,1272.48683935,2.41,254.202,0.5641358356806014,544990.0,5.8
AK,2019-04-01,279128.85538666666,1281.537069825,2.42,255.548,0.5295001612890538,544937.0,5.7
AK,2019-05-01,282065.08114565216,1288.3083711,2.39,256.092,0.21287585893843275,544832.0,5.6
AK,2019-06-01,283739.6936695652,1293.3503798499999,2.38,256.143,0.019914718148150712,544811.0,5.6
AK,2019-07-01,285019.7273456522,1293.1311426,2.4,256.571,0.16709416224534035,544782.0,5.6
AK,2019-08-01,286203.77269565215,1297.4633173,2.13,256.558,-0.005066823608290694,544796.0,5.6
AK,2019-09-01,287462.8130826087,1297.007783175,2.04,256.759,0.07834485769300237,544827.0,5.5
AK,2019-10-01,288533.3667956522,1299.0871249,1.83,257.346,0.22861905522297832,544875.0,5.4
AK,2019-11-01,289546.99515434785,1286.9467679,1.55,257.208,-0.053624303466914824,544814.0,5.3
AK,2019-12-01,290934.7780369565,1287.2208501750001,1.55,256.974,-0.09097695250538385,544765.0,5.3
AK,2020-01-01,292555.65988913045,1283.037167975,1.55,257.971,0.3879769937814803,544695.0,5.4
